Long term interest rate for mortgage or equivalent,"World Bank, World Development Indicator database (2016)",Equilibrium and scenarios
Aggregate statistics on transport modal shares,General Household Transport Survey (2013),Calibration
Evolution of rents/real estate prices over time,CoCT’s housing sales registry (2001/2006/2011),Validation
"Average construction costs per m², as a function of building type",/,Calibration
Dwelling sizes,CoCT,Calibration
Cost of private transport,Energy South Africa (2016) for fuel prices,Calibration
Cost of private transport,Merven et al. (2012) for vehicle energy efficiency,Calibration
Public transport price,Roux (2013),Calibration
Administrative boundaries and neighbourhood names,CoCT and National censuses (2001 & 2011),/
